Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1987","1987","1000 ha","426948","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1988","1988","1000 ha","426948","F","FAO estimate"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1989","1989","1000 ha","426948","F","FAO estimate"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1990","1990","1000 ha","426948","F","FAO estimate"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","1990","1990","1000 ha","186498","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","1991","1991","1000 ha","186389.4","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1991","1991","1000 ha","426948","F","FAO estimate"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1992","1992","1000 ha","425429","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","1992","1992","1000 ha","187799.8","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","1993","1993","1000 ha","190172.2","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1993","1993","1000 ha","422948","F","FAO estimate"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1994","1994","1000 ha","421139","F","FAO estimate"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","1994","1994","1000 ha","191872.6","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","1995","1995","1000 ha","192764","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1995","1995","1000 ha","420139","F","FAO estimate"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1996","1996","1000 ha","416306","F","FAO estimate"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","1996","1996","1000 ha","196488.4","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","1997","1997","1000 ha","197800.8","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1997","1997","1000 ha","414885","F","FAO estimate"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1998","1998","1000 ha","414588","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","1998","1998","1000 ha","197989.2","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","1999","1999","1000 ha","198581.6","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1999","1999","1000 ha","413887","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","2000","2000","1000 ha","414399","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","2000","2000","1000 ha","198257","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","2001","2001","1000 ha","197193.6","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","2001","2001","1000 ha","414944","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","2002","2002","1000 ha","413064","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","2002","2002","1000 ha","198555.2","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","2003","2003","1000 ha","198078.5","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","2003","2003","1000 ha","413022.3","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","2004","2004","1000 ha","412980.9","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","2004","2004","1000 ha","197601.5","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","2005","2005","1000 ha","197124.4","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","2005","2005","1000 ha","412939.6","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","2006","2006","1000 ha","412898.8","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","2006","2006","1000 ha","196646.8","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","2007","2007","1000 ha","196169.6","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","2007","2007","1000 ha","412857.6","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","2008","2008","1000 ha","410902.3","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","2008","2008","1000 ha","196156.5","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","2009","2009","1000 ha","197593.4","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","2009","2009","1000 ha","408947","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","2010","2010","1000 ha","406991.7","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","2010","2010","1000 ha","199030.3","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","2011","2011","1000 ha","200710.6","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","2011","2011","1000 ha","405036.4","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","2012","2012","1000 ha","403081.0538","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","2012","2012","1000 ha","202390.9462","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","2013","2013","1000 ha","201570","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","2013","2013","1000 ha","403627","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","2014","2014","1000 ha","404172.9","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","2014","2014","1000 ha","200749.1","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","2015","2015","1000 ha","199928.3","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","2015","2015","1000 ha","404718.7","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","2016","2016","1000 ha","405264.6","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","2016","2016","1000 ha","199382.4","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","2017","2017","1000 ha","199136.6462","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","2017","2017","1000 ha","405810.3538","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","2018","2018","1000 ha","405810.3538","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","2018","2018","1000 ha","199136.6462","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","2019","2019","1000 ha","199136.6462","Fc","Calculated data"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","2019","2019","1000 ha","405810.3538","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","2020","2020","1000 ha","405810.3538","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6670","Other land","2020","2020","1000 ha","199136.6462","Fc","Calculated data"
